Sample in Buffer,Sample in Window,TRIGGER,design_1_i/xlslice_bit0_Dout,design_1_i/xlslice_bit1_Dout,design_1_i/hier_0_test,design_1_i/hier_0_dout_mem,design_1_i/hier_0_dout_fifo,design_1_i/New_cdr_A_dout10b[9:0],design_1_i/dv_1[1:0],design_1_i/d_in_1[1:0],design_1_i/hier_0_address[13:0],design_1_i/address_counter_0_address[13:0],design_1_i/h_bert_Q[31:0]
8078,8078,0,0,0,1,1,1,1111111111,3,1,17cf,0000,13349
8079,8079,0,0,0,1,1,0,1111111111,3,1,17d0,0000,13350
8080,8080,0,0,0,1,0,1,1111111111,3,3,17d1,0000,13350
8081,8081,0,0,0,1,1,0,1111111111,3,1,17d2,0000,13351
8082,8082,0,0,0,1,0,1,1111111111,3,1,17d3,0000,13352
8083,8083,0,0,0,1,1,1,1111111111,3,1,17d4,0000,13353
8084,8084,0,0,0,1,1,0,1111111111,3,1,17d5,0000,13354
8085,8085,0,0,0,1,0,1,1111111111,3,1,17d6,0000,13354
8086,8086,0,0,0,1,1,0,1111111111,3,1,17d7,0000,13355
8087,8087,0,0,0,1,0,1,1111111111,3,1,17d8,0000,13356
8088,8088,0,0,0,1,1,1,1111111111,3,1,17d9,0000,13357
8089,8089,0,0,0,1,1,0,1111111111,3,1,17da,0000,13358
8090,8090,0,0,0,1,0,1,1111111111,0,0,17db,0000,13358
8091,8091,0,0,0,1,1,0,1111111111,3,1,17dc,0000,13359
8092,8092,0,0,0,1,0,1,1111111111,3,1,17dd,0000,13360
8093,8093,0,0,0,1,1,1,1111111111,3,1,17de,0000,13361
8094,8094,0,0,0,1,1,0,1111111111,3,1,17df,0000,13362
8095,8095,0,0,0,1,0,1,1111111111,3,1,17e0,0000,13362
8096,8096,0,0,0,1,1,0,1111111111,3,1,17e1,0000,13363
8097,8097,0,0,0,1,0,1,1111111111,3,1,17e2,0000,13364
8098,8098,0,0,0,1,1,1,1111111111,3,1,17e3,0000,13365
8099,8099,0,0,0,1,1,0,1111111111,3,1,17e4,0000,13366
8100,8100,0,0,0,1,0,1,1111111111,3,3,17e5,0000,13366
8101,8101,0,0,0,1,1,0,1111111111,3,1,17e6,0000,13367
8102,8102,0,0,0,1,0,1,1111111111,3,1,17e7,0000,13368
8103,8103,0,0,0,1,1,1,1111111111,3,1,17e8,0000,13369
8104,8104,0,0,0,1,1,0,1111111111,3,1,17e9,0000,13370
8105,8105,0,0,0,1,0,1,1111111111,3,1,17ea,0000,13370
8106,8106,0,0,0,1,1,0,1111111111,3,1,17eb,0000,13371
8107,8107,0,0,0,1,0,1,1111111111,3,1,17ec,0000,13372
8108,8108,0,0,0,1,1,1,1111111111,3,1,17ed,0000,13373
8109,8109,0,0,0,1,1,0,1111111111,3,1,17ee,0000,13374
8110,8110,0,0,0,1,0,1,1111111111,0,0,17ef,0000,13374
8111,8111,0,0,0,1,1,0,1111111111,3,1,17f0,0000,13375
8112,8112,0,0,0,1,0,1,1111111111,3,1,17f1,0000,13376
8113,8113,0,0,0,1,1,1,1111111111,3,1,17f2,0000,13377
8114,8114,0,0,0,1,1,0,1111111111,3,1,17f3,0000,13378
8115,8115,0,0,0,1,0,1,1111111111,3,1,17f4,0000,13378
8116,8116,0,0,0,1,1,0,1111111111,3,1,17f5,0000,13379
8117,8117,0,0,0,1,0,1,1111111111,3,1,17f6,0000,13380
8118,8118,0,0,0,1,1,1,1111111111,3,1,17f7,0000,13381
8119,8119,0,0,0,1,1,0,1111111111,3,1,17f8,0000,13382
8120,8120,0,0,0,1,0,1,1111111111,3,3,17f9,0000,13382
8121,8121,0,0,0,1,1,0,1111111111,3,1,17fa,0000,13383
8122,8122,0,0,0,1,0,1,1111111111,3,1,17fb,0000,13384
8123,8123,0,0,0,1,1,1,1111111111,3,1,17fc,0000,13385
8124,8124,0,0,0,1,1,0,1111111111,3,1,17fd,0000,13386
8125,8125,0,0,0,1,0,1,1111111111,3,1,17fe,0000,13386
8126,8126,0,0,0,1,1,0,1111111111,3,1,17ff,0000,13387
